_vname_,_label_,_x_,_yhat_,_ids_
Wiek,Random Forest,20780.16,0.1375,0
Wiek,Random Forest,20955.879999999997,0.1375,0
Wiek,Random Forest,21131.6,0.1375,0
Wiek,Random Forest,21307.32,0.1375,0
Wiek,Random Forest,21483.04,0.1375,0
Wiek,Random Forest,21658.760000000002,0.1375,0
Wiek,Random Forest,21834.48,0.1375,0
Wiek,Random Forest,22010.2,0.1375,0
Wiek,Random Forest,22185.92,0.1375,0
Wiek,Random Forest,22361.64,0.1375,0
Wiek,Random Forest,22537.36,0.1375,0
Wiek,Random Forest,22713.08,0.1375,0
Wiek,Random Forest,22888.8,0.1375,0
Wiek,Random Forest,23064.52,0.1375,0
Wiek,Random Forest,23240.239999999998,0.1375,0
Wiek,Random Forest,23415.96,0.1375,0
Wiek,Random Forest,23591.68,0.1375,0
Wiek,Random Forest,23767.4,0.1375,0
Wiek,Random Forest,23943.120000000003,0.1375,0
Wiek,Random Forest,24118.84,0.1375,0
Wiek,Random Forest,24294.559999999998,0.1375,0
Wiek,Random Forest,24470.28,0.1375,0
Wiek,Random Forest,24646.0,0.1375,0
Wiek,Random Forest,24821.72,0.1375,0
Wiek,Random Forest,24997.440000000002,0.14083333333333334,0
Wiek,Random Forest,25173.16,0.14083333333333334,0
Wiek,Random Forest,25348.879999999997,0.14083333333333334,0
Wiek,Random Forest,25524.6,0.14083333333333334,0
Wiek,Random Forest,25700.32,0.13875,0
Wiek,Random Forest,25876.04,0.135,0
Wiek,Random Forest,26051.760000000002,0.135,0
Wiek,Random Forest,26227.48,0.135,0
Wiek,Random Forest,26403.2,0.135,0
Wiek,Random Forest,26578.92,0.135,0
Wiek,Random Forest,26754.64,0.135,0
Wiek,Random Forest,26930.36,0.135,0
Wiek,Random Forest,27106.08,0.135,0
Wiek,Random Forest,27281.8,0.135,0
Wiek,Random Forest,27457.52,0.135,0
Wiek,Random Forest,27633.239999999998,0.135,0
Wiek,Random Forest,27808.96,0.135,0
Wiek,Random Forest,27984.68,0.135,0
Wiek,Random Forest,28160.4,0.135,0
Wiek,Random Forest,28336.12,0.135,0
Wiek,Random Forest,28511.84,0.135,0
Wiek,Random Forest,28687.56,0.135,0
Wiek,Random Forest,28863.28,0.135,0
Wiek,Random Forest,29039.0,0.135,0
Zap_Takayasu,Random Forest,0.0,0.1391666666666667,0
Zap_Olbrzymiokomorkowe,Random Forest,0.0,0.1391666666666667,0
Zap_Guzkowe,Random Forest,0.0,0.1391666666666667,0
Chor_Kawasakiego,Random Forest,0.0,0.1391666666666667,0
Zap_MPA,Random Forest,0.0,0.13458333333333333,0
Zap_MPA,Random Forest,0.01,0.13458333333333333,0
Zap_MPA,Random Forest,0.02,0.13458333333333333,0
Zap_MPA,Random Forest,0.03,0.13458333333333333,0
Zap_MPA,Random Forest,0.04,0.13458333333333333,0
Zap_MPA,Random Forest,0.05,0.13458333333333333,0
Zap_MPA,Random Forest,0.06,0.13458333333333333,0
Zap_MPA,Random Forest,0.07,0.13458333333333333,0
Zap_MPA,Random Forest,0.08,0.13458333333333333,0
Zap_MPA,Random Forest,0.09,0.13458333333333333,0
Zap_MPA,Random Forest,0.1,0.13458333333333333,0
Zap_MPA,Random Forest,0.11,0.13458333333333333,0
Zap_MPA,Random Forest,0.12,0.13458333333333333,0
Zap_MPA,Random Forest,0.13,0.13458333333333333,0
Zap_MPA,Random Forest,0.14,0.13458333333333333,0
Zap_MPA,Random Forest,0.15,0.13458333333333333,0
Zap_MPA,Random Forest,0.16,0.13458333333333333,0
Zap_MPA,Random Forest,0.17,0.13458333333333333,0
Zap_MPA,Random Forest,0.18,0.13458333333333333,0
Zap_MPA,Random Forest,0.19,0.13458333333333333,0
Zap_MPA,Random Forest,0.2,0.13458333333333333,0
Zap_MPA,Random Forest,0.21,0.13458333333333333,0
Zap_MPA,Random Forest,0.22,0.13458333333333333,0
Zap_MPA,Random Forest,0.23,0.13458333333333333,0
Zap_MPA,Random Forest,0.24,0.13458333333333333,0
Zap_MPA,Random Forest,0.25,0.13458333333333333,0
Zap_MPA,Random Forest,0.26,0.13458333333333333,0
Zap_MPA,Random Forest,0.27,0.13458333333333333,0
Zap_MPA,Random Forest,0.28,0.13458333333333333,0
Zap_MPA,Random Forest,0.29,0.13458333333333333,0
Zap_MPA,Random Forest,0.3,0.13458333333333333,0
Zap_MPA,Random Forest,0.31,0.13458333333333333,0
Zap_MPA,Random Forest,0.32,0.13458333333333333,0
Zap_MPA,Random Forest,0.33,0.13458333333333333,0
Zap_MPA,Random Forest,0.34,0.13458333333333333,0
Zap_MPA,Random Forest,0.35000000000000003,0.13458333333333333,0
Zap_MPA,Random Forest,0.36,0.13458333333333333,0
Zap_MPA,Random Forest,0.37,0.13458333333333333,0
Zap_MPA,Random Forest,0.38,0.13458333333333333,0
Zap_MPA,Random Forest,0.39,0.13458333333333333,0
Zap_MPA,Random Forest,0.4,0.13458333333333333,0
Zap_MPA,Random Forest,0.41000000000000003,0.13458333333333333,0
Zap_MPA,Random Forest,0.42,0.13458333333333333,0
Zap_MPA,Random Forest,0.43,0.13458333333333333,0
Zap_MPA,Random Forest,0.44,0.13458333333333333,0
Zap_MPA,Random Forest,0.45,0.13458333333333333,0
Zap_MPA,Random Forest,0.46,0.13458333333333333,0
Zap_MPA,Random Forest,0.47000000000000003,0.13458333333333333,0
Zap_MPA,Random Forest,0.48,0.13458333333333333,0
Zap_MPA,Random Forest,0.49,0.13458333333333333,0
Zap_MPA,Random Forest,0.5,0.13458333333333333,0
Zap_MPA,Random Forest,0.51,0.15416666666666667,0
Zap_MPA,Random Forest,0.52,0.15416666666666667,0
Zap_MPA,Random Forest,0.53,0.15416666666666667,0
Zap_MPA,Random Forest,0.54,0.15416666666666667,0
Zap_MPA,Random Forest,0.55,0.15416666666666667,0
Zap_MPA,Random Forest,0.56,0.15416666666666667,0
Zap_MPA,Random Forest,0.5700000000000001,0.15416666666666667,0
Zap_MPA,Random Forest,0.58,0.15416666666666667,0
Zap_MPA,Random Forest,0.59,0.15416666666666667,0
Zap_MPA,Random Forest,0.6,0.15416666666666667,0
Zap_MPA,Random Forest,0.61,0.15416666666666667,0
Zap_MPA,Random Forest,0.62,0.15416666666666667,0
Zap_MPA,Random Forest,0.63,0.15416666666666667,0
Zap_MPA,Random Forest,0.64,0.15416666666666667,0
Zap_MPA,Random Forest,0.65,0.15416666666666667,0
Zap_MPA,Random Forest,0.66,0.15416666666666667,0
Zap_MPA,Random Forest,0.67,0.15416666666666667,0
Zap_MPA,Random Forest,0.68,0.15416666666666667,0
Zap_MPA,Random Forest,0.6900000000000001,0.15416666666666667,0
Zap_MPA,Random Forest,0.7000000000000001,0.15416666666666667,0
Zap_MPA,Random Forest,0.71,0.15416666666666667,0
Zap_MPA,Random Forest,0.72,0.15416666666666667,0
Zap_MPA,Random Forest,0.73,0.15416666666666667,0
Zap_MPA,Random Forest,0.74,0.15416666666666667,0
Zap_MPA,Random Forest,0.75,0.15416666666666667,0
Zap_MPA,Random Forest,0.76,0.15416666666666667,0
Zap_MPA,Random Forest,0.77,0.15416666666666667,0
Zap_MPA,Random Forest,0.78,0.15416666666666667,0
Zap_MPA,Random Forest,0.79,0.15416666666666667,0
Zap_MPA,Random Forest,0.8,0.15416666666666667,0
Zap_MPA,Random Forest,0.81,0.15416666666666667,0
Zap_MPA,Random Forest,0.8200000000000001,0.15416666666666667,0
Zap_MPA,Random Forest,0.8300000000000001,0.15416666666666667,0
Zap_MPA,Random Forest,0.84,0.15416666666666667,0
Zap_MPA,Random Forest,0.85,0.15416666666666667,0
Zap_MPA,Random Forest,0.86,0.15416666666666667,0
Zap_MPA,Random Forest,0.87,0.15416666666666667,0
Zap_MPA,Random Forest,0.88,0.15416666666666667,0
Zap_MPA,Random Forest,0.89,0.15416666666666667,0
Zap_MPA,Random Forest,0.9,0.15416666666666667,0
Zap_MPA,Random Forest,0.91,0.15416666666666667,0
Zap_MPA,Random Forest,0.92,0.15416666666666667,0
Zap_MPA,Random Forest,0.93,0.15416666666666667,0
Zap_MPA,Random Forest,0.9400000000000001,0.15416666666666667,0
Zap_MPA,Random Forest,0.9500000000000001,0.15416666666666667,0
Zap_MPA,Random Forest,0.96,0.15416666666666667,0
Zap_MPA,Random Forest,0.97,0.15416666666666667,0
Zap_MPA,Random Forest,0.98,0.15416666666666667,0
Zap_MPA,Random Forest,0.99,0.15416666666666667,0
Zap_MPA,Random Forest,1.0,0.15416666666666667,0
Zap_GPA,Random Forest,0.0,0.14791666666666667,0
Zap_GPA,Random Forest,0.01,0.14791666666666667,0
Zap_GPA,Random Forest,0.02,0.14791666666666667,0
Zap_GPA,Random Forest,0.03,0.14791666666666667,0
Zap_GPA,Random Forest,0.04,0.14791666666666667,0
Zap_GPA,Random Forest,0.05,0.14791666666666667,0
Zap_GPA,Random Forest,0.06,0.14791666666666667,0
Zap_GPA,Random Forest,0.07,0.14791666666666667,0
Zap_GPA,Random Forest,0.08,0.14791666666666667,0
Zap_GPA,Random Forest,0.09,0.14791666666666667,0
Zap_GPA,Random Forest,0.1,0.14791666666666667,0
Zap_GPA,Random Forest,0.11,0.14791666666666667,0
Zap_GPA,Random Forest,0.12,0.14791666666666667,0
Zap_GPA,Random Forest,0.13,0.14791666666666667,0
Zap_GPA,Random Forest,0.14,0.14791666666666667,0
Zap_GPA,Random Forest,0.15,0.14791666666666667,0
Zap_GPA,Random Forest,0.16,0.14791666666666667,0
Zap_GPA,Random Forest,0.17,0.14791666666666667,0
Zap_GPA,Random Forest,0.18,0.14791666666666667,0
Zap_GPA,Random Forest,0.19,0.14791666666666667,0
Zap_GPA,Random Forest,0.2,0.14791666666666667,0
Zap_GPA,Random Forest,0.21,0.14791666666666667,0
Zap_GPA,Random Forest,0.22,0.14791666666666667,0
Zap_GPA,Random Forest,0.23,0.14791666666666667,0
Zap_GPA,Random Forest,0.24,0.14791666666666667,0
Zap_GPA,Random Forest,0.25,0.14791666666666667,0
Zap_GPA,Random Forest,0.26,0.14791666666666667,0
Zap_GPA,Random Forest,0.27,0.14791666666666667,0
Zap_GPA,Random Forest,0.28,0.14791666666666667,0
Zap_GPA,Random Forest,0.29,0.14791666666666667,0
Zap_GPA,Random Forest,0.3,0.14791666666666667,0
Zap_GPA,Random Forest,0.31,0.14791666666666667,0
Zap_GPA,Random Forest,0.32,0.14791666666666667,0
Zap_GPA,Random Forest,0.33,0.14791666666666667,0
Zap_GPA,Random Forest,0.34,0.14791666666666667,0
Zap_GPA,Random Forest,0.35000000000000003,0.14791666666666667,0
Zap_GPA,Random Forest,0.36,0.14791666666666667,0
Zap_GPA,Random Forest,0.37,0.14791666666666667,0
Zap_GPA,Random Forest,0.38,0.14791666666666667,0
Zap_GPA,Random Forest,0.39,0.14791666666666667,0
Zap_GPA,Random Forest,0.4,0.14791666666666667,0
Zap_GPA,Random Forest,0.41000000000000003,0.14791666666666667,0
Zap_GPA,Random Forest,0.42,0.14791666666666667,0
Zap_GPA,Random Forest,0.43,0.14791666666666667,0
Zap_GPA,Random Forest,0.44,0.14791666666666667,0
Zap_GPA,Random Forest,0.45,0.14791666666666667,0
Zap_GPA,Random Forest,0.46,0.14791666666666667,0
Zap_GPA,Random Forest,0.47000000000000003,0.14791666666666667,0
Zap_GPA,Random Forest,0.48,0.14791666666666667,0
Zap_GPA,Random Forest,0.49,0.14791666666666667,0
Zap_GPA,Random Forest,0.5,0.14791666666666667,0
Zap_GPA,Random Forest,0.51,0.13375,0
Zap_GPA,Random Forest,0.52,0.13375,0
Zap_GPA,Random Forest,0.53,0.13375,0
Zap_GPA,Random Forest,0.54,0.13375,0
Zap_GPA,Random Forest,0.55,0.13375,0
Zap_GPA,Random Forest,0.56,0.13375,0
Zap_GPA,Random Forest,0.5700000000000001,0.13375,0
Zap_GPA,Random Forest,0.58,0.13375,0
Zap_GPA,Random Forest,0.59,0.13375,0
Zap_GPA,Random Forest,0.6,0.13375,0
Zap_GPA,Random Forest,0.61,0.13375,0
Zap_GPA,Random Forest,0.62,0.13375,0
Zap_GPA,Random Forest,0.63,0.13375,0
Zap_GPA,Random Forest,0.64,0.13375,0
Zap_GPA,Random Forest,0.65,0.13375,0
Zap_GPA,Random Forest,0.66,0.13375,0
Zap_GPA,Random Forest,0.67,0.13375,0
Zap_GPA,Random Forest,0.68,0.13375,0
Zap_GPA,Random Forest,0.6900000000000001,0.13375,0
Zap_GPA,Random Forest,0.7000000000000001,0.13375,0
Zap_GPA,Random Forest,0.71,0.13375,0
Zap_GPA,Random Forest,0.72,0.13375,0
Zap_GPA,Random Forest,0.73,0.13375,0
Zap_GPA,Random Forest,0.74,0.13375,0
Zap_GPA,Random Forest,0.75,0.13375,0
Zap_GPA,Random Forest,0.76,0.13375,0
Zap_GPA,Random Forest,0.77,0.13375,0
Zap_GPA,Random Forest,0.78,0.13375,0
Zap_GPA,Random Forest,0.79,0.13375,0
Zap_GPA,Random Forest,0.8,0.13375,0
Zap_GPA,Random Forest,0.81,0.13375,0
Zap_GPA,Random Forest,0.8200000000000001,0.13375,0
Zap_GPA,Random Forest,0.8300000000000001,0.13375,0
Zap_GPA,Random Forest,0.84,0.13375,0
Zap_GPA,Random Forest,0.85,0.13375,0
Zap_GPA,Random Forest,0.86,0.13375,0
Zap_GPA,Random Forest,0.87,0.13375,0
Zap_GPA,Random Forest,0.88,0.13375,0
Zap_GPA,Random Forest,0.89,0.13375,0
Zap_GPA,Random Forest,0.9,0.13375,0
Zap_GPA,Random Forest,0.91,0.13375,0
Zap_GPA,Random Forest,0.92,0.13375,0
Zap_GPA,Random Forest,0.93,0.13375,0
Zap_GPA,Random Forest,0.9400000000000001,0.13375,0
Zap_GPA,Random Forest,0.9500000000000001,0.13375,0
Zap_GPA,Random Forest,0.96,0.13375,0
Zap_GPA,Random Forest,0.97,0.13375,0
Zap_GPA,Random Forest,0.98,0.13375,0
Zap_GPA,Random Forest,0.99,0.13375,0
Zap_GPA,Random Forest,1.0,0.13375,0
Chor_EGPA,Random Forest,0.0,0.1391666666666667,0
Zes_Goodpasture,Random Forest,0.0,0.1391666666666667,0
Zap_Krioglobulinemia,Random Forest,0.0,0.1391666666666667,0
Zap_Henocha_Schonleina,Random Forest,0.0,0.1391666666666667,0
Zap_Anty_C1Q,Random Forest,0.0,0.1391666666666667,0
Chor_Behceta,Random Forest,0.0,0.1391666666666667,0
Zesp_Cogana,Random Forest,0.0,0.1391666666666667,0
Zap_Leukocytoklastyczne_Nacz_Skory,Random Forest,0.0,0.1391666666666667,0
Zap_Tetnic_Skory,Random Forest,0.0,0.1391666666666667,0
Zap_Naczyn-Osrod-Ukl-Nerwowego,Random Forest,0.0,0.1391666666666667,0
Zap_Izolowane_Aorty,Random Forest,0.0,0.1391666666666667,0
Zap_Toczniowe,Random Forest,0.0,0.1391666666666667,0
Zap_Reumatoidalne,Random Forest,0.0,0.1391666666666667,0
Zap_Sarkoidalne,Random Forest,0.0,0.1391666666666667,0
Zap_Krioglobulinemia-HCV,Random Forest,0.0,0.1391666666666667,0
Zap_HBF,Random Forest,0.0,0.1391666666666667,0
Zap_Kilowe_Aorty,Random Forest,0.0,0.1391666666666667,0
Zap_Odkladanie_Kompleksow,Random Forest,0.0,0.1391666666666667,0
Zap_Nowotwor,Random Forest,0.0,0.1391666666666667,0
Zap_Znana_Przyczyna,Random Forest,0.0,0.1391666666666667,0
Zap_Nieokreslone,Random Forest,0.0,0.1391666666666667,0
Zap_Srednich_Naczyn,Random Forest,0.0,0.1391666666666667,0
Zap_Malych_Naczyn,Random Forest,0.0,0.1391666666666667,0
Zap_Male_Naczynia-kompleksy ,Random Forest,0.0,0.1391666666666667,0
Zap_Rozne_Naczyna,Random Forest,0.0,0.1391666666666667,0
Inne_Rozpoznania,Random Forest,0.0,0.1391666666666667,0
Cukrzyca,Random Forest,0.0,0.1391666666666667,0
Nadcisnienie,Random Forest,0.0,0.1391666666666667,0
Wiek_rozpoznania,Random Forest,7475.0,0.17375,0
Wiek_rozpoznania,Random Forest,7687.67,0.17375,0
Wiek_rozpoznania,Random Forest,7900.34,0.17375,0
Wiek_rozpoznania,Random Forest,8113.01,0.17375,0
Wiek_rozpoznania,Random Forest,8325.68,0.17375,0
Wiek_rozpoznania,Random Forest,8538.35,0.14416666666666667,0
Wiek_rozpoznania,Random Forest,8751.02,0.14416666666666667,0
Wiek_rozpoznania,Random Forest,8963.69,0.14416666666666667,0
Wiek_rozpoznania,Random Forest,9176.36,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,9389.03,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,9601.7,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,9814.369999999999,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,10027.04,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,10239.71,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,10452.38,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,10665.05,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,10877.72,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,11090.39,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,11303.06,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,11515.73,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,11728.4,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,11941.07,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,12153.74,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,12366.41,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,12579.08,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,12791.75,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,13004.42,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,13217.09,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,13429.759999999998,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,13642.43,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,13855.099999999999,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,14067.77,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,14280.439999999999,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,14493.11,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,14705.779999999999,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,14918.45,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,15131.119999999999,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,15343.79,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,15556.46,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,15769.13,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,15981.8,0.13583333333333333,0
Wiek_rozpoznania,Random Forest,16194.47,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,16407.14,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,16619.809999999998,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,16832.48,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,17045.15,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,17257.82,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,17470.489999999998,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,17683.16,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,17895.83,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,18108.5,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,18321.17,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,18533.84,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,18746.510000000002,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,18959.18,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,19171.85,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,19384.519999999997,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,19597.19,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,19809.86,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,20022.53,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,20235.199999999997,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,20447.87,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,20660.54,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,20873.21,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,21085.879999999997,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,21298.55,0.13958333333333334,0
Wiek_rozpoznania,Random Forest,21511.22,0.13999999999999999,0
Wiek_rozpoznania,Random Forest,21723.89,0.13999999999999999,0
